高於閾值？,人均 GDP,出生率資料桶,預期壽命,Co2 排放量,GDP,記錄數,人口 0-14,人口 15-64,人口 65+,人口總數,人均 GDP(資料桶),人均醫療費用,入境旅遊,出境旅遊,出生率,區域,經商便利度(叢集),國家/地區,城市人口,女性預期壽命,年份,新生兒死亡率,營業稅稅率,男性預期壽命,經商便利度,網際網路使用率,能源使用,行動電話使用率,貸款利率,辦稅小時數,醫療費用 % Gdp,開業天數
低於閾值,$154,高於 3%,46,906,$2B,1,0.458,0.511,0.031,11.3M,$0,$9,$0B,$0B,4.5%,非洲,低,Malawi,14.6%,46,2000/12/1,0.103,,46,,0%,,0%,0.531,,6.1%,
低於閾值,$236,高於 3%,49,543,$2B,1,0.461,0.504,0.035,10.3M,$0,$16,$0B,$0B,4.8%,非洲,低,Mali,28.4%,49,2000/12/1,0.116,,49,,0%,,0%,,,6.3%,
低於閾值,$478,高於 3%,60,1236,$1B,1,0.428,0.54,0.032,2.7M,$0,$24,,,3.8%,非洲,低,Mauritania,49.2%,61,2000/12/1,0.076,,58,,0%,,1%,0.256,,6.0%,
低於閾值,"$3,861",1.5-3%,72,2769,$5B,1,0.258,0.681,0.061,1.2M,$0,$146,$1B,$0B,1.7%,非洲,非常友好,Mauritius,42.7%,75,2000/12/1,0.016,,68,,7%,,15%,0.208,,3.7%,
低於閾值,"$1,289",1.5-3%,69,33905,$37B,1,0.341,0.613,0.047,28.7M,$0,$54,$2B,$1B,2.2%,非洲,友好,Morocco,53.3%,70,2000/12/1,0.043,,67,,1%,10238,8%,0.133,,4.2%,
低於閾值,$236,高於 3%,48,1349,$4B,1,0.438,0.53,0.032,18.3M,$0,$15,$0B,$0B,4.4%,非洲,中等,Mozambique,29.1%,49,2000/12/1,0.114,,46,,0%,7173,0%,0.19,,6.2%,
低於閾值,"$2,059",高於 3%,55,1643,$4B,1,0.405,0.562,0.033,1.9M,$0,$126,$0B,$0B,3.2%,非洲,友好,Namibia,32.4%,57,2000/12/1,0.049,,53,,2%,978,4%,0.153,,6.1%,
低於閾值,$164,高於 3%,51,796,$2B,1,0.479,0.495,0.025,11.0M,$0,$10,$0B,$0B,5.3%,非洲,低,Niger,16.2%,51,2000/12/1,0.101,,51,,0%,,0%,,,6.4%,
低於閾值,$378,高於 3%,47,79182,$46B,1,0.435,0.537,0.028,122.9M,$0,$17,$0B,$1B,4.3%,非洲,中等,Nigeria,34.8%,47,2000/12/1,0.113,,46,,0%,90596,0%,0.213,,4.6%,
低於閾值,$207,高於 3%,48,686,$2B,1,0.466,0.505,0.03,8.4M,$0,$9,$0B,$0B,4.1%,非洲,友好,Rwanda,14.9%,49,2000/12/1,0.108,,47,,0%,,1%,0.17,,4.2%,
低於閾值,$550,高於 3%,64,48,$0B,1,0.44,0.52,0.04,0.1M,$0,$46,$0B,$0B,3.6%,非洲,低,Sao Tome and Principe,53.4%,65,2000/12/1,0.058,,62,,5%,,,0.397,,8.9%,
低於閾值,$475,高於 3%,58,3938,$5B,1,0.451,0.517,0.032,9.9M,$0,$22,$0B,$0B,4.0%,非洲,低,Senegal,40.3%,59,2000/12/1,0.069,,56,,0%,2398,3%,,,4.6%,
低於閾值,"$7,579",1.5-3%,,565,$1B,1,0.282,0.637,0.081,0.1M,"$4,688",$371,$0B,$0B,1.9%,非洲,友好,Seychelles,50.1%,,2000/12/1,0.012,,,,7%,,33%,0.107,,4.8%,
高於閾值,$154,高於 3%,38,425,$1B,1,0.43,0.546,0.025,4.1M,$0,$28,$0B,$0B,4.4%,非洲,中等,Sierra Leone,35.6%,39,2000/12/1,0.141,,37,,0%,,0%,0.263,,18.4%,
低於閾值,,高於 3%,51,517,,1,0.472,0.499,0.029,7.4M,,,,,4.9%,非洲,Not Clustered,Somalia,33.2%,52,2000/12/1,0.105,,49,,0%,,1%,,,,
低於閾值,"$3,023",1.5-3%,56,368611,$133B,1,0.33,0.636,0.034,44.0M,$0,$246,$3B,$3B,2.4%,非洲,非常友好,South Africa,56.9%,58,2000/12/1,0.052,,54,,5%,109264,19%,0.145,,8.3%,
低於閾值,,高於 3%,49,,,1,0.447,0.523,0.03,6.7M,,,,,4.3%,非洲,低,South Sudan,16.5%,50,2000/12/1,0.11,,48,,,,,,,,
低於閾值,$442,高於 3%,58,5534,$12B,1,0.437,0.533,0.03,27.7M,$0,$15,$0B,$0B,4.0%,非洲,中等,Sudan,32.5%,60,2000/12/1,0.069,,56,,0%,13340,0%,,,3.4%,
低於閾值,"$1,433",高於 3%,49,1188,$2B,1,0.446,0.524,0.029,1.1M,$0,$75,$0B,$0B,3.3%,非洲,中等,Swaziland,22.7%,49,2000/12/1,0.08,,48,,1%,,3%,0.14,,5.3%,
低於閾值,$299,高於 3%,50,2651,$10B,1,0.448,0.523,0.029,34.0M,$0,$10,$0B,$0B,4.2%,非洲,中等,Tanzania,22.3%,51,2000/12/1,0.08,,49,,0%,13390,0%,0.216,,3.4%,
低於閾值,$266,高於 3%,54,1357,$1B,1,0.442,0.529,0.029,4.9M,$0,$14,$0B,$0B,3.9%,非洲,低,Togo,32.9%,54,2000/12/1,0.077,,53,,1%,2111,1%,,,5.3%,
低於閾值,"$2,245",1.5-3%,73,19923,$21B,1,0.298,0.641,0.06,9.6M,$0,$123,$2B,$0B,1.7%,非洲,非常友好,Tunisia,63.4%,75,2000/12/1,0.026,,71,,3%,7306,1%,,,5.4%,
低於閾值,$255,高於 3%,48,1533,$6B,1,0.493,0.481,0.027,24.3M,$0,$16,$0B,,4.8%,非洲,中等,Uganda,12.1%,48,2000/12/1,0.089,,48,,0%,,1%,0.229,,6.6%,
低於閾值,$322,高於 3%,42,1819,$3B,1,0.457,0.515,0.027,10.1M,$0,$18,$0B,$0B,4.5%,非洲,友好,Zambia,34.8%,42,2000/12/1,0.1,,42,,0%,6244,1%,0.388,,5.6%,
低於閾值,$535,高於 3%,44,13887,$7B,1,0.422,0.545,0.034,12.5M,$0,,$0B,,3.2%,非洲,低,Zimbabwe,33.8%,44,2000/12/1,0.061,,44,,0%,9865,2%,0.682,,,
低於閾值,,高於 3%,55,781,,1,0.495,0.485,0.02,20.6M,,,,,5.0%,亞洲,低,Afghanistan,21.3%,56,2000/12/1,0.095,,54,,,,,,,,
低於閾值,$621,低於 1.5%,72,3465,$2B,1,0.259,0.641,0.1,3.1M,$0,$39,$0B,$0B,1.3%,亞洲,非常友好,Armenia,64.7%,75,2000/12/1,0.027,,68,,1%,2015,1%,0.316,,6.3%,
低於閾值,$655,1.5-3%,67,29508,$5B,1,0.311,0.633,0.056,8.0M,$0,$30,$0B,$0B,1.5%,亞洲,友好,Azerbaijan,51.4%,70,2000/12/1,0.061,,64,,0%,11296,5%,0.197,,4.7%,
低於閾值,$356,1.5-3%,66,27869,$47B,1,0.37,0.59,0.041,132.4M,$0,$10,$0B,$0B,2.7%,亞洲,中等,Bangladesh,23.6%,66,2000/12/1,0.064,,65,,0%,18591,0%,0.155,,2.8%,
低於閾值,$778,1.5-3%,60,400,$0B,1,0.406,0.556,0.038,0.6M,$0,$52,$0B,,2.8%,亞洲,低,Bhutan,25.4%,60,2000/12/1,0.059,,60,,0%,,,0.16,,6.7%,
低於閾值,"$18,087",1.5-3%,76,6527,$6B,1,0.304,0.668,0.028,0.3M,"$14,064",$543,,,2.3%,亞洲,友好,Brunei,71.2%,78,2000/12/1,0.008,,74,,9%,2385,29%,0.055,,3.0%,
低於閾值,$299,1.5-3%,62,1977,$4B,1,0.408,0.554,0.038,12.2M,$0,$19,$0B,$0B,2.8%,亞洲,中等,Cambodia,18.6%,65,2000/12/1,0.082,,59,,0%,3412,1%,,,6.3%,
低於閾值,$950,低於 1.5%,73,3405180,"$1,200B",1,0.256,0.675,0.069,"1,262.6M",$0,$43,$17B,$14B,1.4%,亞洲,友好,China,35.9%,74,2000/12/1,0.03,,71,,2%,1161353,7%,0.059,,4.6%,
低於閾值,$692,低於 1.5%,72,4536,$3B,1,0.219,0.656,0.125,4.4M,$0,$45,$0B,$0B,1.2%,亞洲,非常友好,Georgia,52.6%,75,2000/12/1,0.031,,68,,1%,2869,4%,0.247,,6.9%,
低於閾值,"$25,806",低於 1.5%,81,40465,$172B,1,0.173,0.717,0.11,6.7M,"$23,440",,$8B,$13B,0.8%,亞洲,非常友好,Hong Kong SAR,100.0%,84,2000/12/1,,,78,,28%,13392,80%,0.095,,,
低於閾值,$458,1.5-3%,62,1186663,$477B,1,0.342,0.614,0.044,"1,042.3M",$0,$20,$4B,$4B,2.6%,亞洲,中等,India,27.7%,63,2000/12/1,0.067,,61,,1%,457198,0%,0.123,,4.3%,
低於閾值,$790,1.5-3%,67,263419,$165B,1,0.307,0.647,0.047,208.9M,$0,$15,$5B,$3B,2.2%,亞洲,中等,Indonesia,42.0%,69,2000/12/1,0.041,,65,,1%,154768,2%,0.185,,2.0%,
低於閾值,"$37,282",低於 1.5%,82,1219589,"$4,730B",1,0.146,0.682,0.172,126.9M,"$32,816","$2,834",$6B,$43B,0.9%,亞洲,非常友好,Japan,78.6%,85,2000/12/1,0.003,,78,,30%,518964,53%,0.021,,7.6%,
低於閾值,"$1,229",1.5-3%,66,127769,$18B,1,0.277,0.655,0.068,14.9M,$0,$52,$0B,$0B,1.5%,亞洲,友好,Kazakhstan,55.7%,71,2000/12/1,0.038,,60,,1%,35679,1%,,,4.2%,
低於閾值,,1.5-3%,65,76699,,1,0.26,0.681,0.059,22.8M,,,,,1.8%,亞洲,Not Clustered,North Korea,59.4%,69,2000/12/1,0.045,,61,,,19717,,,,,
低於閾值,"$11,955",低於 1.5%,76,447561,$562B,1,0.21,0.717,0.073,47.0M,"$9,376",$491,$9B,$8B,1.3%,亞洲,非常友好,South Korea,79.6%,80,2000/12/1,0.005,,72,,45%,188161,58%,0.085,,4.3%,
低於閾值,$280,1.5-3%,69,4529,$1B,1,0.35,0.596,0.055,4.9M,$0,$13,$0B,$0B,2.0%,亞洲,友好,Kyrgyzstan,35.3%,72,2000/12/1,0.042,,65,,1%,2317,0%,0.519,,4.7%,
低於閾值,$321,高於 3%,62,972,$2B,1,0.435,0.529,0.036,5.4M,$0,$11,$0B,$0B,3.1%,亞洲,低,Laos,22.0%,63,2000/12/1,0.083,,60,,0%,,0%,0.32,,3.3%,
低於閾值,"$14,128",低於 1.5%,78,1635,$6B,1,0.228,0.698,0.074,0.4M,"$14,064",,$3B,,0.9%,亞洲,Not Clustered,Macao SAR,100.0%,80,2000/12/1,,,75,,14%,,33%,0.099,,,
低於閾值,"$4,005",1.5-3%,73,126603,$94B,1,0.333,0.628,0.038,23.4M,$0,$120,$6B,$3B,2.3%,亞洲,非常友好,Malaysia,62.0%,75,2000/12/1,0.009,,71,,21%,47110,22%,0.077,,3.0%,
低於閾值,"$2,289",1.5-3%,70,499,$1B,1,0.413,0.549,0.038,0.3M,$0,$162,$0B,$0B,2.5%,亞洲,友好,Maldives,27.7%,70,2000/12/1,0.035,,69,,2%,,3%,0.13,,7.1%,
低於閾值,$474,1.5-3%,63,7506,$1B,1,0.348,0.615,0.037,2.4M,$0,$22,$0B,$0B,1.9%,亞洲,友好,Mongolia,57.1%,66,2000/12/1,0.049,,60,,1%,2397,6%,0.37,,4.7%,
低於閾值,,1.5-3%,62,10088,,1,0.307,0.645,0.047,48.5M,,$3,$0B,$0B,2.1%,亞洲,低,Myanmar,27.0%,64,2000/12/1,0.059,,60,,,12841,0%,0.153,,2.1%,
低於閾值,$237,高於 3%,62,3234,$5B,1,0.404,0.558,0.038,23.2M,$0,$12,$0B,$0B,3.3%,亞洲,中等,Nepal,13.4%,63,2000/12/1,0.06,,61,,0%,8108,0%,0.095,,5.0%,
低於閾值,$514,高於 3%,64,106449,$74B,1,0.415,0.546,0.039,143.8M,$0,$15,$1B,$1B,3.1%,亞洲,中等,Pakistan,33.2%,65,2000/12/1,0.088,,63,,,64067,0%,,,3.0%,
低於閾值,"$1,043",高於 3%,67,73307,$81B,1,0.385,0.583,0.032,77.7M,$0,$33,$2B,$2B,3.0%,亞洲,中等,Philippines,48.0%,70,2000/12/1,0.03,,64,,2%,39872,8%,0.109,,3.2%,
低於閾值,"$23,793",低於 1.5%,78,49006,$96B,1,0.215,0.712,0.073,4.0M,"$23,440",$662,$5B,$5B,1.2%,亞洲,非常友好,Singapore,100.0%,80,2000/12/1,0.003,,76,,36%,18692,70%,0.058,,2.7%,
低於閾值,$855,1.5-3%,72,10161,$16B,1,0.269,0.669,0.063,19.1M,$0,$32,$0B,$0B,1.8%,亞洲,友好,Sri Lanka,18.4%,75,2000/12/1,0.014,,68,,1%,8327,2%,0.162,,3.7%,
低於閾值,$139,高於 3%,64,2237,$1B,1,0.429,0.536,0.035,6.2M,$0,$6,,,3.0%,亞洲,中等,Tajikistan,26.5%,68,2000/12/1,0.075,,60,,0%,2149,0%,0.256,,4.6%,
低於閾值,"$1,973",1.5-3%,71,188355,$123B,1,0.242,0.693,0.066,62.3M,$0,$67,$10B,$3B,1.5%,亞洲,非常友好,Thailand,31.4%,75,2000/12/1,0.019,,67,,4%,72284,5%,0.078,,3.4%,
低於閾值,$410,高於 3%,60,,$0B,1,0.498,0.479,0.024,0.9M,$0,$19,,,4.3%,亞洲,低,Timor-Leste,24.3%,61,2000/12/1,0.084,,58,,,,,,,5.1%,
低於閾值,$645,1.5-3%,64,35365,$3B,1,0.363,0.594,0.043,4.5M,$0,$44,,,2.4%,亞洲,Not Clustered,Turkmenistan,45.9%,68,2000/12/1,0.066,,60,,0%,14871,0%,,,3.9%,
低於閾值,$558,1.5-3%,67,119951,$14B,1,0.373,0.584,0.043,24.7M,$0,$29,$0B,,2.1%,亞洲,低,Uzbekistan,37.4%,70,2000/12/1,0.053,,64,,1%,50757,0%,,,5.3%,
低於閾值,$433,1.5-3%,74,53645,$34B,1,0.316,0.62,0.064,77.6M,$0,$20,,,1.7%,亞洲,友好,Vietnam,24.4%,78,2000/12/1,0.027,,69,,0%,28736,1%,0.106,,5.3%,
低於閾值,"$1,193",1.5-3%,74,3022,$4B,1,0.303,0.628,0.068,3.1M,$0,$70,$0B,$0B,1.9%,歐洲,友好,Albania,41.7%,77,2000/12/1,0.023,,71,,0%,1763,1%,0.221,,6.4%,
低於閾值,"$17,334",低於 1.5%,,524,$1B,1,,,,0.1M,"$14,064","$1,330",,,1.1%,歐洲,Not Clustered,Andorra,92.4%,,2000/12/1,0.004,,,,11%,,36%,,,6.2%,
低於閾值,"$23,965",低於 1.5%,78,63696,$192B,1,0.17,0.675,0.155,8.0M,"$23,440","$2,403",$11B,$7B,1.0%,歐洲,非常友好,Austria,65.8%,81,2000/12/1,0.005,,75,,34%,28558,76%,,,10.0%,
低於閾值,"$1,273",低於 1.5%,69,53469,$13B,1,0.186,0.679,0.134,10.0M,$0,$64,$0B,$0B,0.9%,歐洲,友好,Belarus,70.0%,75,2000/12/1,0.011,,63,,2%,24695,1%,0.677,,6.1%,
低於閾值,"$22,729",低於 1.5%,78,115709,$233B,1,0.176,0.655,0.169,10.3M,"$18,752","$1,845",$7B,$9B,1.1%,歐洲,非常友好,Belgium,97.1%,81,2000/12/1,0.005,,75,,29%,58508,55%,0.08,,8.1%,
低於閾值,"$1,436",低於 1.5%,75,23223,$6B,1,0.202,0.691,0.107,3.8M,$0,$103,$0B,$0B,1.0%,歐洲,中等,Bosnia and Herzegovina,39.3%,77,2000/12/1,0.008,,72,,1%,4346,2%,0.305,,7.1%,
低於閾值,"$1,579",低於 1.5%,72,43531,$13B,1,0.157,0.677,0.166,8.2M,$0,$98,$1B,$1B,0.9%,歐洲,友好,Bulgaria,68.9%,75,2000/12/1,0.018,,68,,5%,18688,9%,0.113,,6.2%,
低於閾值,"$4,862",低於 1.5%,73,19644,$22B,1,0.172,0.673,0.156,4.4M,"$4,688",$377,$3B,$1B,1.0%,歐洲,友好,Croatia,55.6%,77,2000/12/1,0.007,,69,,7%,7790,23%,0.121,,7.8%,
低於閾值,"$9,875",低於 1.5%,78,6850,$9B,1,0.224,0.674,0.102,0.9M,"$9,376",$744,$2B,$1B,1.3%,歐洲,非常友好,Cyprus,68.6%,80,2000/12/1,0.006,,76,,15%,2137,23%,0.08,,5.8%,
低於閾值,"$5,734",低於 1.5%,75,124649,$59B,1,0.165,0.697,0.138,10.3M,"$4,688",$361,$3B,$1B,0.9%,歐洲,友好,Czech Republic,74.0%,78,2000/12/1,0.006,,72,,10%,40993,42%,0.072,,6.3%,
低於閾值,"$29,965",低於 1.5%,77,47260,$160B,1,0.185,0.667,0.149,5.3M,"$28,128","$2,613",$4B,$5B,1.3%,歐洲,非常友好,Denmark,85.1%,79,2000/12/1,0.005,,74,,39%,18634,63%,0.081,,8.7%,
低於閾值,"$4,063",低於 1.5%,71,15181,$6B,1,0.18,0.669,0.152,1.4M,$0,$213,$1B,$0B,1.0%,歐洲,非常友好,Estonia,69.4%,76,2000/12/1,0.009,,65,,29%,4715,41%,0.074,,5.3%,
低於閾值,"$22,850",高於 3%,79,711,$1B,1,,,,0.0M,"$18,752",,,,,歐洲,Not Clustered,Faeroe Islands,36.3%,82,2000/12/1,,,76,,33%,,37%,,,,
低於閾值,"$23,569",低於 1.5%,78,52141,$122B,1,0.182,0.669,0.149,5.2M,"$23,440","$1,700",$2B,$2B,1.1%,歐洲,非常友好,Finland,82.2%,81,2000/12/1,0.004,,74,,37%,32233,72%,0.056,,7.2%,
低於閾值,"$21,835",低於 1.5%,79,365560,"$1,330B",1,0.189,0.65,0.16,60.9M,"$18,752","$2,209",$39B,$27B,1.3%,歐洲,非常友好,France,75.9%,83,2000/12/1,0.004,,75,,14%,251981,49%,0.067,,10.1%,
低於閾值,"$22,989",低於 1.5%,78,829978,"$1,890B",1,0.156,0.681,0.163,82.2M,"$18,752","$2,387",$25B,$58B,0.9%,歐洲,非常友好,Germany,73.1%,81,2000/12/1,0.004,,75,,30%,336584,58%,0.096,,10.4%,
低於閾值,"$11,358",低於 1.5%,78,91616,$124B,1,0.152,0.68,0.168,10.9M,"$9,376",$918,$9B,$5B,1.0%,歐洲,友好,Greece,72.7%,81,2000/12/1,0.007,,75,,9%,27086,54%,0.123,,7.9%,
低於閾值,"$4,543",低於 1.5%,72,57238,$46B,1,0.168,0.68,0.151,10.2M,$0,$326,$4B,$2B,1.0%,歐洲,友好,Hungary,64.6%,76,2000/12/1,0.01,,67,,7%,24999,30%,0.126,,7.2%,
低於閾值,"$30,929",低於 1.5%,80,2164,$9B,1,0.233,0.651,0.116,0.3M,"$28,128","$2,961",$0B,$0B,1.4%,歐洲,非常友好,Iceland,92.4%,82,2000/12/1,0.003,,78,,45%,3100,76%,0.168,,9.5%,
低於閾值,"$25,579",低於 1.5%,77,41345,$97B,1,0.218,0.67,0.112,3.8M,"$23,440","$1,572",$4B,$3B,1.4%,歐洲,非常友好,Ireland,59.1%,79,2000/12/1,0.006,,74,,18%,13574,65%,0.048,,6.1%,
低於閾值,"$20,359",高於 3%,,,$2B,1,,,,0.1M,"$18,752",,,,,歐洲,Not Clustered,Isle of Man,51.8%,,2000/12/1,,,,,,,,,,,
低於閾值,"$19,318",低於 1.5%,80,451441,"$1,100B",1,0.143,0.674,0.183,56.9M,"$18,752","$1,527",$29B,$18B,1.0%,歐洲,友好,Italy,67.2%,83,2000/12/1,0.005,,77,,23%,171522,74%,0.07,,7.9%,
低於閾值,"$1,088",1.5-3%,68,,$2B,1,,,,1.7M,$0,,,,2.3%,歐洲,友好,Kosovo,,70,2000/12/1,,,66,,,1545,,,,,
低於閾值,"$3,309",低於 1.5%,71,6241,$8B,1,0.179,0.671,0.15,2.4M,$0,$197,$0B,$0B,0.9%,歐洲,非常友好,Latvia,68.1%,76,2000/12/1,0.015,,65,,6%,3832,17%,0.119,,6.0%,
低於閾值,"$75,058",低於 1.5%,77,,$2B,1,,,,0.0M,"$75,008",,,,1.3%,歐洲,Not Clustered,Liechtenstein,15.1%,80,2000/12/1,,,74,,37%,,30%,,,,
低於閾值,"$3,267",低於 1.5%,73,12200,$11B,1,0.199,0.662,0.139,3.5M,$0,$212,$0B,$0B,1.0%,歐洲,非常友好,Lithuania,67.0%,78,2000/12/1,0.01,,67,,6%,7131,15%,0.121,,6.5%,
低於閾值,"$46,453",低於 1.5%,78,8240,$20B,1,0.189,0.67,0.141,0.4M,"$42,192","$3,495",$2B,$1B,1.3%,歐洲,友好,Luxembourg,84.2%,81,2000/12/1,0.004,,75,,23%,3335,70%,,,7.5%,
低於閾值,"$1,748",低於 1.5%,74,12064,$4B,1,0.224,0.676,0.1,2.1M,$0,$153,$0B,$0B,1.3%,歐洲,非常友好,North Macedonia,58.5%,76,2000/12/1,0.014,,71,,3%,2668,6%,0.189,,8.7%,
低於閾值,"$10,377",低於 1.5%,78,2065,$4B,1,0.207,0.686,0.107,0.4M,"$9,376",$643,$1B,$0B,1.2%,歐洲,友好,Malta,92.4%,80,2000/12/1,0.007,,76,,13%,676,28%,0.073,,6.6%,
